contender, input_graph, iteration, num_vertices, num_edges, factory_time_ns, execution_time_ns, result_correct
fast_kruskal, GNM, 0, 8192, 8192, 40, 574166, yes
fast_kruskal, GNM, 1, 8192, 8192, 20, 577025, yes
fast_kruskal, GNM, 2, 8192, 8192, 20, 574625, yes
fast_kruskal, GNM, 3, 8192, 8192, 10, 567245, yes
i_max_filter, GNM, 0, 8192, 8192, 20, 696737, yes
i_max_filter, GNM, 1, 8192, 8192, 20, 688827, yes
i_max_filter, GNM, 2, 8192, 8192, 10, 704828, yes
i_max_filter, GNM, 3, 8192, 8192, 20, 688857, yes
parallel_i_max_filter, GNM, 0, 8192, 8192, 20, 684727, yes
parallel_i_max_filter, GNM, 1, 8192, 8192, 20, 688797, yes
parallel_i_max_filter, GNM, 2, 8192, 8192, 20, 688007, yes
parallel_i_max_filter, GNM, 3, 8192, 8192, 20, 689717, yes
jarnik_prim, GNM, 0, 8192, 8192, 20, 686127, yes
jarnik_prim, GNM, 1, 8192, 8192, 20, 689257, yes
jarnik_prim, GNM, 2, 8192, 8192, 20, 691427, yes
jarnik_prim, GNM, 3, 8192, 8192, 20, 692507, yes
fast_kruskal, GNM, 0, 8192, 16384, 20, 1027790, yes
fast_kruskal, GNM, 1, 8192, 16384, 20, 977789, yes
fast_kruskal, GNM, 2, 8192, 16384, 20, 989700, yes
fast_kruskal, GNM, 3, 8192, 16384, 20, 982520, yes
i_max_filter, GNM, 0, 8192, 16384, 20, 1055261, yes
i_max_filter, GNM, 1, 8192, 16384, 20, 1081541, yes
i_max_filter, GNM, 2, 8192, 16384, 10, 1067251, yes
i_max_filter, GNM, 3, 8192, 16384, 20, 1073851, yes
parallel_i_max_filter, GNM, 0, 8192, 16384, 20, 1052970, yes
parallel_i_max_filter, GNM, 1, 8192, 16384, 20, 1069451, yes
parallel_i_max_filter, GNM, 2, 8192, 16384, 20, 1056840, yes
parallel_i_max_filter, GNM, 3, 8192, 16384, 20, 1079731, yes
jarnik_prim, GNM, 0, 8192, 16384, 20, 1059581, yes
jarnik_prim, GNM, 1, 8192, 16384, 20, 1070860, yes
jarnik_prim, GNM, 2, 8192, 16384, 20, 1054391, yes
jarnik_prim, GNM, 3, 8192, 16384, 20, 1077910, yes
fast_kruskal, GNM, 0, 8192, 32768, 30, 1972020, yes
fast_kruskal, GNM, 1, 8192, 32768, 20, 1610567, yes
fast_kruskal, GNM, 2, 8192, 32768, 30, 1613346, yes
fast_kruskal, GNM, 3, 8192, 32768, 20, 1612316, yes
i_max_filter, GNM, 0, 8192, 32768, 20, 1321864, yes
i_max_filter, GNM, 1, 8192, 32768, 20, 1340404, yes
i_max_filter, GNM, 2, 8192, 32768, 20, 1334773, yes
i_max_filter, GNM, 3, 8192, 32768, 20, 1365304, yes
parallel_i_max_filter, GNM, 0, 8192, 32768, 20, 1359383, yes
parallel_i_max_filter, GNM, 1, 8192, 32768, 20, 1332963, yes
parallel_i_max_filter, GNM, 2, 8192, 32768, 20, 1341224, yes
parallel_i_max_filter, GNM, 3, 8192, 32768, 20, 1337083, yes
jarnik_prim, GNM, 0, 8192, 32768, 20, 1351423, yes
jarnik_prim, GNM, 1, 8192, 32768, 20, 1341563, yes
jarnik_prim, GNM, 2, 8192, 32768, 20, 1326773, yes
jarnik_prim, GNM, 3, 8192, 32768, 10, 1331844, yes
fast_kruskal, GNM, 0, 8192, 65536, 20, 3614096, yes
fast_kruskal, GNM, 1, 8192, 65536, 20, 3185522, yes
fast_kruskal, GNM, 2, 8192, 65536, 20, 3186742, yes
fast_kruskal, GNM, 3, 8192, 65536, 20, 3176623, yes
i_max_filter, GNM, 0, 8192, 65536, 20, 1846968, yes
i_max_filter, GNM, 1, 8192, 65536, 10, 1841878, yes
i_max_filter, GNM, 2, 8192, 65536, 20, 1870009, yes
i_max_filter, GNM, 3, 8192, 65536, 20, 1850808, yes
parallel_i_max_filter, GNM, 0, 8192, 65536, 20, 1854309, yes
parallel_i_max_filter, GNM, 1, 8192, 65536, 20, 1866839, yes
parallel_i_max_filter, GNM, 2, 8192, 65536, 20, 1863579, yes
parallel_i_max_filter, GNM, 3, 8192, 65536, 20, 1854489, yes
jarnik_prim, GNM, 0, 8192, 65536, 20, 1859218, yes
jarnik_prim, GNM, 1, 8192, 65536, 20, 1856189, yes
jarnik_prim, GNM, 2, 8192, 65536, 20, 1868969, yes
jarnik_prim, GNM, 3, 8192, 65536, 20, 1855469, yes
fast_kruskal, GNM, 0, 8192, 131072, 20, 7141482, yes
fast_kruskal, GNM, 1, 8192, 131072, 20, 6389514, yes
fast_kruskal, GNM, 2, 8192, 131072, 20, 6380104, yes
fast_kruskal, GNM, 3, 8192, 131072, 20, 6406084, yes
i_max_filter, GNM, 0, 8192, 131072, 20, 3341224, yes
i_max_filter, GNM, 1, 8192, 131072, 20, 3300054, yes
i_max_filter, GNM, 2, 8192, 131072, 10, 3269852, yes
i_max_filter, GNM, 3, 8192, 131072, 20, 3295103, yes
parallel_i_max_filter, GNM, 0, 8192, 131072, 20, 3356063, yes
parallel_i_max_filter, GNM, 1, 8192, 131072, 20, 4718207, yes
parallel_i_max_filter, GNM, 2, 8192, 131072, 20, 2988481, yes
parallel_i_max_filter, GNM, 3, 8192, 131072, 20, 2968890, yes
jarnik_prim, GNM, 0, 8192, 131072, 20, 2751518, yes
jarnik_prim, GNM, 1, 8192, 131072, 20, 2770848, yes
jarnik_prim, GNM, 2, 8192, 131072, 20, 2756098, yes
jarnik_prim, GNM, 3, 8192, 131072, 10, 2736828, yes
fast_kruskal, GNM, 0, 8192, 262144, 20, 14437525, yes
fast_kruskal, GNM, 1, 8192, 262144, 20, 13308584, yes
fast_kruskal, GNM, 2, 8192, 262144, 20, 13339814, yes
fast_kruskal, GNM, 3, 8192, 262144, 20, 13349364, yes
i_max_filter, GNM, 0, 8192, 262144, 10, 4410043, yes
i_max_filter, GNM, 1, 8192, 262144, 20, 4410785, yes
i_max_filter, GNM, 2, 8192, 262144, 20, 4408293, yes
i_max_filter, GNM, 3, 8192, 262144, 30, 4419545, yes
parallel_i_max_filter, GNM, 0, 8192, 262144, 30, 3831729, yes
parallel_i_max_filter, GNM, 1, 8192, 262144, 20, 4174242, yes
parallel_i_max_filter, GNM, 2, 8192, 262144, 20, 3834419, yes
parallel_i_max_filter, GNM, 3, 8192, 262144, 30, 3842838, yes
jarnik_prim, GNM, 0, 8192, 262144, 20, 4462315, yes
jarnik_prim, GNM, 1, 8192, 262144, 20, 4653196, yes
jarnik_prim, GNM, 2, 8192, 262144, 20, 4596076, yes
jarnik_prim, GNM, 3, 8192, 262144, 40, 4669066, yes
fast_kruskal, GNM, 0, 8192, 524288, 30, 30146023, yes
fast_kruskal, GNM, 1, 8192, 524288, 20, 28049182, yes
fast_kruskal, GNM, 2, 8192, 524288, 20, 27968060, yes
fast_kruskal, GNM, 3, 8192, 524288, 20, 27976310, yes
i_max_filter, GNM, 0, 8192, 524288, 20, 5997690, yes
i_max_filter, GNM, 1, 8192, 524288, 20, 5980521, yes
i_max_filter, GNM, 2, 8192, 524288, 20, 5936710, yes
i_max_filter, GNM, 3, 8192, 524288, 20, 5964169, yes
parallel_i_max_filter, GNM, 0, 8192, 524288, 10, 4903469, yes
parallel_i_max_filter, GNM, 1, 8192, 524288, 30, 4858698, yes
parallel_i_max_filter, GNM, 2, 8192, 524288, 30, 4875788, yes
parallel_i_max_filter, GNM, 3, 8192, 524288, 50, 4835768, yes
jarnik_prim, GNM, 0, 8192, 524288, 40, 8463665, yes
jarnik_prim, GNM, 1, 8192, 524288, 40, 8683198, yes
jarnik_prim, GNM, 2, 8192, 524288, 30, 8474555, yes
jarnik_prim, GNM, 3, 8192, 524288, 30, 8467654, yes
fast_kruskal, GNM, 0, 8192, 1048576, 30, 64267617, yes
fast_kruskal, GNM, 1, 8192, 1048576, 30, 60443207, yes
fast_kruskal, GNM, 2, 8192, 1048576, 20, 60655029, yes
fast_kruskal, GNM, 3, 8192, 1048576, 30, 60493249, yes
i_max_filter, GNM, 0, 8192, 1048576, 30, 8743958, yes
i_max_filter, GNM, 1, 8192, 1048576, 30, 8724317, yes
i_max_filter, GNM, 2, 8192, 1048576, 30, 8744007, yes
i_max_filter, GNM, 3, 8192, 1048576, 30, 8742318, yes
parallel_i_max_filter, GNM, 0, 8192, 1048576, 40, 7035730, yes
parallel_i_max_filter, GNM, 1, 8192, 1048576, 30, 6962301, yes
parallel_i_max_filter, GNM, 2, 8192, 1048576, 30, 6928170, yes
parallel_i_max_filter, GNM, 3, 8192, 1048576, 30, 7145702, yes
jarnik_prim, GNM, 0, 8192, 1048576, 40, 14422645, yes
jarnik_prim, GNM, 1, 8192, 1048576, 20, 14916501, yes
jarnik_prim, GNM, 2, 8192, 1048576, 30, 15107542, yes
jarnik_prim, GNM, 3, 8192, 1048576, 30, 14380885, yes
fast_kruskal, GNM, 0, 8192, 2097152, 30, 127735122, yes
fast_kruskal, GNM, 1, 8192, 2097152, 20, 126691712, yes
fast_kruskal, GNM, 2, 8192, 2097152, 20, 126785112, yes
fast_kruskal, GNM, 3, 8192, 2097152, 20, 126727832, yes
i_max_filter, GNM, 0, 8192, 2097152, 20, 13522125, yes
i_max_filter, GNM, 1, 8192, 2097152, 20, 14061991, yes
i_max_filter, GNM, 2, 8192, 2097152, 20, 14068051, yes
i_max_filter, GNM, 3, 8192, 2097152, 10, 14089571, yes
parallel_i_max_filter, GNM, 0, 8192, 2097152, 20, 10298103, yes
