contender, input_graph, iteration, num_vertices, num_edges, factory_time_ns, execution_time_ns, result_correct
fast_kruskal, GNM, 0, 16384, 16384, 60, 2017395, yes
fast_kruskal, GNM, 1, 16384, 16384, 50, 1784224, yes
fast_kruskal, GNM, 2, 16384, 16384, 30, 1767684, yes
fast_kruskal, GNM, 3, 16384, 16384, 20, 1082442, yes
i_max_filter, GNM, 0, 16384, 16384, 20, 1616114, yes
i_max_filter, GNM, 1, 16384, 16384, 20, 1603824, yes
i_max_filter, GNM, 2, 16384, 16384, 20, 1608163, yes
i_max_filter, GNM, 3, 16384, 16384, 20, 1612234, yes
parallel_i_max_filter, GNM, 0, 16384, 16384, 20, 1624364, yes
parallel_i_max_filter, GNM, 1, 16384, 16384, 20, 1642604, yes
parallel_i_max_filter, GNM, 2, 16384, 16384, 20, 1605763, yes
parallel_i_max_filter, GNM, 3, 16384, 16384, 20, 1629354, yes
jarnik_prim, GNM, 0, 16384, 16384, 20, 1606324, yes
jarnik_prim, GNM, 1, 16384, 16384, 20, 1623743, yes
jarnik_prim, GNM, 2, 16384, 16384, 20, 1614644, yes
jarnik_prim, GNM, 3, 16384, 16384, 20, 1617954, yes
fast_kruskal, GNM, 0, 16384, 32768, 20, 1774773, yes
fast_kruskal, GNM, 1, 16384, 32768, 20, 1681624, yes
fast_kruskal, GNM, 2, 16384, 32768, 20, 1661864, yes
fast_kruskal, GNM, 3, 16384, 32768, 20, 1651794, yes
i_max_filter, GNM, 0, 16384, 32768, 20, 2370145, yes
i_max_filter, GNM, 1, 16384, 32768, 20, 2385365, yes
i_max_filter, GNM, 2, 16384, 32768, 20, 2320195, yes
i_max_filter, GNM, 3, 16384, 32768, 20, 2349015, yes
parallel_i_max_filter, GNM, 0, 16384, 32768, 20, 2335305, yes
parallel_i_max_filter, GNM, 1, 16384, 32768, 20, 2383536, yes
parallel_i_max_filter, GNM, 2, 16384, 32768, 20, 2358776, yes
parallel_i_max_filter, GNM, 3, 16384, 32768, 20, 2367996, yes
jarnik_prim, GNM, 0, 16384, 32768, 20, 2359205, yes
jarnik_prim, GNM, 1, 16384, 32768, 20, 2390776, yes
jarnik_prim, GNM, 2, 16384, 32768, 20, 2364746, yes
jarnik_prim, GNM, 3, 16384, 32768, 10, 2346396, yes
fast_kruskal, GNM, 0, 16384, 65536, 20, 2836996, yes
fast_kruskal, GNM, 1, 16384, 65536, 20, 2507586, yes
fast_kruskal, GNM, 2, 16384, 65536, 20, 2509847, yes
fast_kruskal, GNM, 3, 16384, 65536, 20, 2510606, yes
i_max_filter, GNM, 0, 16384, 65536, 20, 2939756, yes
i_max_filter, GNM, 1, 16384, 65536, 20, 3001697, yes
i_max_filter, GNM, 2, 16384, 65536, 20, 2969887, yes
i_max_filter, GNM, 3, 16384, 65536, 20, 2954557, yes
parallel_i_max_filter, GNM, 0, 16384, 65536, 20, 3015467, yes
parallel_i_max_filter, GNM, 1, 16384, 65536, 20, 3020386, yes
parallel_i_max_filter, GNM, 2, 16384, 65536, 10, 2970328, yes
parallel_i_max_filter, GNM, 3, 16384, 65536, 20, 3027637, yes
jarnik_prim, GNM, 0, 16384, 65536, 20, 2969777, yes
jarnik_prim, GNM, 1, 16384, 65536, 30, 2993807, yes
jarnik_prim, GNM, 2, 16384, 65536, 20, 2987127, yes
jarnik_prim, GNM, 3, 16384, 65536, 20, 2964247, yes
fast_kruskal, GNM, 0, 16384, 131072, 20, 5341592, yes
fast_kruskal, GNM, 1, 16384, 131072, 20, 5257012, yes
fast_kruskal, GNM, 2, 16384, 131072, 20, 5272103, yes
fast_kruskal, GNM, 3, 16384, 131072, 20, 5260602, yes
i_max_filter, GNM, 0, 16384, 131072, 20, 4192700, yes
i_max_filter, GNM, 1, 16384, 131072, 30, 4061390, yes
i_max_filter, GNM, 2, 16384, 131072, 20, 4049339, yes
i_max_filter, GNM, 3, 16384, 131072, 20, 4134659, yes
parallel_i_max_filter, GNM, 0, 16384, 131072, 20, 4063989, yes
parallel_i_max_filter, GNM, 1, 16384, 131072, 20, 4096350, yes
parallel_i_max_filter, GNM, 2, 16384, 131072, 20, 4059169, yes
parallel_i_max_filter, GNM, 3, 16384, 131072, 20, 4117140, yes
jarnik_prim, GNM, 0, 16384, 131072, 10, 4090630, yes
jarnik_prim, GNM, 1, 16384, 131072, 20, 4095959, yes
jarnik_prim, GNM, 2, 16384, 131072, 20, 4092000, yes
jarnik_prim, GNM, 3, 16384, 131072, 20, 4098569, yes
fast_kruskal, GNM, 0, 16384, 262144, 20, 9979833, yes
fast_kruskal, GNM, 1, 16384, 262144, 10, 11162896, yes
fast_kruskal, GNM, 2, 16384, 262144, 20, 11252836, yes
fast_kruskal, GNM, 3, 16384, 262144, 20, 11453677, yes
i_max_filter, GNM, 0, 16384, 262144, 20, 7654138, yes
i_max_filter, GNM, 1, 16384, 262144, 20, 7558157, yes
i_max_filter, GNM, 2, 16384, 262144, 20, 7543858, yes
i_max_filter, GNM, 3, 16384, 262144, 10, 7550477, yes
parallel_i_max_filter, GNM, 0, 16384, 262144, 20, 7152937, yes
parallel_i_max_filter, GNM, 1, 16384, 262144, 30, 6852296, yes
parallel_i_max_filter, GNM, 2, 16384, 262144, 40, 6836075, yes
parallel_i_max_filter, GNM, 3, 16384, 262144, 40, 6870656, yes
jarnik_prim, GNM, 0, 16384, 262144, 40, 6486195, yes
jarnik_prim, GNM, 1, 16384, 262144, 20, 6615686, yes
jarnik_prim, GNM, 2, 16384, 262144, 30, 6560155, yes
jarnik_prim, GNM, 3, 16384, 262144, 30, 6587725, yes
fast_kruskal, GNM, 0, 16384, 524288, 30, 20192576, yes
fast_kruskal, GNM, 1, 16384, 524288, 20, 17897541, yes
fast_kruskal, GNM, 2, 16384, 524288, 20, 18068302, yes
fast_kruskal, GNM, 3, 16384, 524288, 30, 17636441, yes
i_max_filter, GNM, 0, 16384, 524288, 20, 9701422, yes
i_max_filter, GNM, 1, 16384, 524288, 20, 9780522, yes
i_max_filter, GNM, 2, 16384, 524288, 20, 9734033, yes
i_max_filter, GNM, 3, 16384, 524288, 20, 9720123, yes
parallel_i_max_filter, GNM, 0, 16384, 524288, 20, 9052391, yes
parallel_i_max_filter, GNM, 1, 16384, 524288, 40, 8350159, yes
parallel_i_max_filter, GNM, 2, 16384, 524288, 40, 8291489, yes
parallel_i_max_filter, GNM, 3, 16384, 524288, 40, 8279099, yes
jarnik_prim, GNM, 0, 16384, 524288, 40, 11265175, yes
jarnik_prim, GNM, 1, 16384, 524288, 20, 11299796, yes
jarnik_prim, GNM, 2, 16384, 524288, 20, 11276456, yes
jarnik_prim, GNM, 3, 16384, 524288, 20, 11267207, yes
fast_kruskal, GNM, 0, 16384, 1048576, 30, 40068574, yes
fast_kruskal, GNM, 1, 16384, 1048576, 40, 39406911, yes
fast_kruskal, GNM, 2, 16384, 1048576, 40, 39375821, yes
fast_kruskal, GNM, 3, 16384, 1048576, 40, 39555702, yes
i_max_filter, GNM, 0, 16384, 1048576, 30, 13375141, yes
i_max_filter, GNM, 1, 16384, 1048576, 20, 13299051, yes
i_max_filter, GNM, 2, 16384, 1048576, 20, 13262590, yes
i_max_filter, GNM, 3, 16384, 1048576, 10, 13271691, yes
parallel_i_max_filter, GNM, 0, 16384, 1048576, 40, 11484236, yes
parallel_i_max_filter, GNM, 1, 16384, 1048576, 30, 11520526, yes
parallel_i_max_filter, GNM, 2, 16384, 1048576, 30, 11505128, yes
parallel_i_max_filter, GNM, 3, 16384, 1048576, 80, 11568926, yes
jarnik_prim, GNM, 0, 16384, 1048576, 40, 17818481, yes
jarnik_prim, GNM, 1, 16384, 1048576, 30, 17960951, yes
jarnik_prim, GNM, 2, 16384, 1048576, 30, 17769211, yes
jarnik_prim, GNM, 3, 16384, 1048576, 30, 18165912, yes
fast_kruskal, GNM, 0, 16384, 2097152, 30, 81267268, yes
fast_kruskal, GNM, 1, 16384, 2097152, 30, 81474679, yes
fast_kruskal, GNM, 2, 16384, 2097152, 40, 80360975, yes
fast_kruskal, GNM, 3, 16384, 2097152, 30, 80357936, yes
i_max_filter, GNM, 0, 16384, 2097152, 40, 19009513, yes
i_max_filter, GNM, 1, 16384, 2097152, 40, 19306605, yes
i_max_filter, GNM, 2, 16384, 2097152, 40, 18980784, yes
i_max_filter, GNM, 3, 16384, 2097152, 40, 18365902, yes
parallel_i_max_filter, GNM, 0, 16384, 2097152, 40, 15309035, yes
parallel_i_max_filter, GNM, 1, 16384, 2097152, 40, 15192025, yes
parallel_i_max_filter, GNM, 2, 16384, 2097152, 30, 15246975, yes
parallel_i_max_filter, GNM, 3, 16384, 2097152, 40, 15243055, yes
jarnik_prim, GNM, 0, 16384, 2097152, 40, 30105410, yes
jarnik_prim, GNM, 1, 16384, 2097152, 40, 29994689, yes
jarnik_prim, GNM, 2, 16384, 2097152, 40, 29983740, yes
jarnik_prim, GNM, 3, 16384, 2097152, 40, 30440801, yes
fast_kruskal, GNM, 0, 16384, 4194304, 40, 361331369, yes
fast_kruskal, GNM, 1, 16384, 4194304, 30, 165283544, yes
fast_kruskal, GNM, 2, 16384, 4194304, 30, 164881094, yes
fast_kruskal, GNM, 3, 16384, 4194304, 40, 165432166, yes
i_max_filter, GNM, 0, 16384, 4194304, 30, 27553013, yes
i_max_filter, GNM, 1, 16384, 4194304, 10, 28618177, yes
i_max_filter, GNM, 2, 16384, 4194304, 30, 27895296, yes
i_max_filter, GNM, 3, 16384, 4194304, 30, 27489415, yes
parallel_i_max_filter, GNM, 0, 16384, 4194304, 30, 20053497, yes
parallel_i_max_filter, GNM, 1, 16384, 4194304, 30, 20163718, yes
parallel_i_max_filter, GNM, 2, 16384, 4194304, 60, 20127827, yes
parallel_i_max_filter, GNM, 3, 16384, 4194304, 30, 20135897, yes
jarnik_prim, GNM, 0, 16384, 4194304, 30, 56240681, yes
jarnik_prim, GNM, 1, 16384, 4194304, 40, 56189351, yes
