contender, input_graph, iteration, num_vertices, num_edges, factory_time_ns, execution_time_ns, result_correct
jarnik_prim, GNM, 3, 16384, 262144, 20, 6522142, yes
fast_kruskal, GNM, 0, 16384, 524288, 30, 30582024, yes
fast_kruskal, GNM, 1, 16384, 524288, 30, 28311155, yes
fast_kruskal, GNM, 2, 16384, 524288, 20, 28247344, yes
fast_kruskal, GNM, 3, 16384, 524288, 20, 28318115, yes
i_max_filter, GNM, 0, 16384, 524288, 20, 9960564, yes
i_max_filter, GNM, 1, 16384, 524288, 20, 10742276, yes
i_max_filter, GNM, 2, 16384, 524288, 30, 9913873, yes
i_max_filter, GNM, 3, 16384, 524288, 20, 9799922, yes
parallel_i_max_filter, GNM, 0, 16384, 524288, 10, 8669629, yes
parallel_i_max_filter, GNM, 1, 16384, 524288, 40, 8672489, yes
parallel_i_max_filter, GNM, 2, 16384, 524288, 40, 8576238, yes
parallel_i_max_filter, GNM, 3, 16384, 524288, 20, 8461456, yes
jarnik_prim, GNM, 0, 16384, 524288, 20, 11037660, yes
jarnik_prim, GNM, 1, 16384, 524288, 20, 11265571, yes
jarnik_prim, GNM, 2, 16384, 524288, 20, 11303851, yes
jarnik_prim, GNM, 3, 16384, 524288, 20, 11232101, yes
fast_kruskal, GNM, 0, 16384, 1048576, 30, 61717943, yes
fast_kruskal, GNM, 1, 16384, 1048576, 30, 61403500, yes
fast_kruskal, GNM, 2, 16384, 1048576, 30, 61106045, yes
fast_kruskal, GNM, 3, 16384, 1048576, 20, 61549612, yes
i_max_filter, GNM, 0, 16384, 1048576, 30, 13404639, yes
i_max_filter, GNM, 1, 16384, 1048576, 20, 13421928, yes
i_max_filter, GNM, 2, 16384, 1048576, 10, 13485298, yes
i_max_filter, GNM, 3, 16384, 1048576, 30, 13355097, yes
parallel_i_max_filter, GNM, 0, 16384, 1048576, 30, 11401363, yes
parallel_i_max_filter, GNM, 1, 16384, 1048576, 30, 11444543, yes
parallel_i_max_filter, GNM, 2, 16384, 1048576, 30, 11459663, yes
parallel_i_max_filter, GNM, 3, 16384, 1048576, 40, 11523644, yes
jarnik_prim, GNM, 0, 16384, 1048576, 40, 17937494, yes
jarnik_prim, GNM, 1, 16384, 1048576, 20, 17993185, yes
jarnik_prim, GNM, 2, 16384, 1048576, 30, 18027405, yes
jarnik_prim, GNM, 3, 16384, 1048576, 10, 18027627, yes
fast_kruskal, GNM, 0, 16384, 2097152, 30, 126635097, yes
fast_kruskal, GNM, 1, 16384, 2097152, 30, 125978257, yes
fast_kruskal, GNM, 2, 16384, 2097152, 30, 126036168, yes
fast_kruskal, GNM, 3, 16384, 2097152, 30, 126309721, yes
i_max_filter, GNM, 0, 16384, 2097152, 30, 18777785, yes
i_max_filter, GNM, 1, 16384, 2097152, 20, 19485514, yes
i_max_filter, GNM, 2, 16384, 2097152, 30, 19490895, yes
i_max_filter, GNM, 3, 16384, 2097152, 30, 19492044, yes
