contender, input_graph, iteration, num_vertices, num_edges, factory_time_ns, execution_time_ns, result_correct
fast_kruskal, GNM, 0, 8192, 8192, 60, 831166, yes
fast_kruskal, GNM, 1, 8192, 8192, 50, 851427, yes
fast_kruskal, GNM, 2, 8192, 8192, 30, 844766, yes
fast_kruskal, GNM, 3, 8192, 8192, 30, 853356, yes
i_max_filter, GNM, 0, 8192, 8192, 50, 1146208, yes
i_max_filter, GNM, 1, 8192, 8192, 30, 1162428, yes
i_max_filter, GNM, 2, 8192, 8192, 30, 1142178, yes
i_max_filter, GNM, 3, 8192, 8192, 30, 686005, yes
parallel_i_max_filter, GNM, 0, 8192, 8192, 20, 708925, yes
parallel_i_max_filter, GNM, 1, 8192, 8192, 20, 706464, yes
parallel_i_max_filter, GNM, 2, 8192, 8192, 20, 706935, yes
parallel_i_max_filter, GNM, 3, 8192, 8192, 20, 698515, yes
jarnik_prim, GNM, 0, 8192, 8192, 30, 707364, yes
jarnik_prim, GNM, 1, 8192, 8192, 20, 702255, yes
jarnik_prim, GNM, 2, 8192, 8192, 20, 707975, yes
jarnik_prim, GNM, 3, 8192, 8192, 20, 713244, yes
fast_kruskal, GNM, 0, 8192, 16384, 30, 875886, yes
fast_kruskal, GNM, 1, 8192, 16384, 20, 819596, yes
fast_kruskal, GNM, 2, 8192, 16384, 20, 821065, yes
fast_kruskal, GNM, 3, 8192, 16384, 20, 825536, yes
i_max_filter, GNM, 0, 8192, 16384, 30, 1100807, yes
i_max_filter, GNM, 1, 8192, 16384, 20, 1112458, yes
i_max_filter, GNM, 2, 8192, 16384, 20, 1106818, yes
i_max_filter, GNM, 3, 8192, 16384, 30, 1060057, yes
parallel_i_max_filter, GNM, 0, 8192, 16384, 20, 1090707, yes
parallel_i_max_filter, GNM, 1, 8192, 16384, 20, 1092798, yes
parallel_i_max_filter, GNM, 2, 8192, 16384, 20, 1093068, yes
parallel_i_max_filter, GNM, 3, 8192, 16384, 20, 1096948, yes
jarnik_prim, GNM, 0, 8192, 16384, 20, 1108517, yes
jarnik_prim, GNM, 1, 8192, 16384, 20, 1065958, yes
jarnik_prim, GNM, 2, 8192, 16384, 20, 1075788, yes
jarnik_prim, GNM, 3, 8192, 16384, 20, 1083238, yes
fast_kruskal, GNM, 0, 8192, 32768, 20, 1638661, yes
fast_kruskal, GNM, 1, 8192, 32768, 30, 1271769, yes
fast_kruskal, GNM, 2, 8192, 32768, 20, 1266349, yes
fast_kruskal, GNM, 3, 8192, 32768, 20, 1275769, yes
i_max_filter, GNM, 0, 8192, 32768, 30, 1357270, yes
i_max_filter, GNM, 1, 8192, 32768, 20, 1375779, yes
i_max_filter, GNM, 2, 8192, 32768, 20, 1355309, yes
i_max_filter, GNM, 3, 8192, 32768, 30, 1367429, yes
parallel_i_max_filter, GNM, 0, 8192, 32768, 20, 1365599, yes
parallel_i_max_filter, GNM, 1, 8192, 32768, 20, 1474000, yes
parallel_i_max_filter, GNM, 2, 8192, 32768, 30, 1404380, yes
parallel_i_max_filter, GNM, 3, 8192, 32768, 20, 1364600, yes
jarnik_prim, GNM, 0, 8192, 32768, 20, 1345390, yes
jarnik_prim, GNM, 1, 8192, 32768, 20, 1357240, yes
jarnik_prim, GNM, 2, 8192, 32768, 30, 1387689, yes
jarnik_prim, GNM, 3, 8192, 32768, 20, 1370889, yes
fast_kruskal, GNM, 0, 8192, 65536, 30, 3069621, yes
fast_kruskal, GNM, 1, 8192, 65536, 20, 2333896, yes
fast_kruskal, GNM, 2, 8192, 65536, 20, 2316757, yes
fast_kruskal, GNM, 3, 8192, 65536, 20, 2321636, yes
i_max_filter, GNM, 0, 8192, 65536, 30, 1906734, yes
i_max_filter, GNM, 1, 8192, 65536, 20, 1897272, yes
i_max_filter, GNM, 2, 8192, 65536, 30, 1903814, yes
i_max_filter, GNM, 3, 8192, 65536, 10, 1904403, yes
parallel_i_max_filter, GNM, 0, 8192, 65536, 10, 1893762, yes
parallel_i_max_filter, GNM, 1, 8192, 65536, 20, 1906442, yes
parallel_i_max_filter, GNM, 2, 8192, 65536, 20, 1867102, yes
parallel_i_max_filter, GNM, 3, 8192, 65536, 20, 1914323, yes
jarnik_prim, GNM, 0, 8192, 65536, 20, 1884643, yes
jarnik_prim, GNM, 1, 8192, 65536, 20, 1917714, yes
jarnik_prim, GNM, 2, 8192, 65536, 30, 1913613, yes
jarnik_prim, GNM, 3, 8192, 65536, 20, 1897773, yes
fast_kruskal, GNM, 0, 8192, 131072, 30, 5188976, yes
fast_kruskal, GNM, 1, 8192, 131072, 20, 4494462, yes
