contender, input_graph, iteration, num_vertices, num_edges, factory_time_ns, execution_time_ns, result_correct
fast_kruskal, GNM, 0, 8192, 8192, 30, 609787, yes
fast_kruskal, GNM, 1, 8192, 8192, 10, 575866, yes
fast_kruskal, GNM, 2, 8192, 8192, 20, 582436, yes
fast_kruskal, GNM, 3, 8192, 8192, 20, 579806, yes
i_max_filter, GNM, 0, 8192, 8192, 20, 722148, yes
i_max_filter, GNM, 1, 8192, 8192, 20, 723517, yes
i_max_filter, GNM, 2, 8192, 8192, 20, 697077, yes
i_max_filter, GNM, 3, 8192, 8192, 20, 705667, yes
parallel_i_max_filter, GNM, 0, 8192, 8192, 30, 706337, yes
parallel_i_max_filter, GNM, 1, 8192, 8192, 30, 698797, yes
parallel_i_max_filter, GNM, 2, 8192, 8192, 20, 701237, yes
parallel_i_max_filter, GNM, 3, 8192, 8192, 20, 706707, yes
jarnik_prim, GNM, 0, 8192, 8192, 20, 704067, yes
jarnik_prim, GNM, 1, 8192, 8192, 20, 706568, yes
jarnik_prim, GNM, 2, 8192, 8192, 20, 702967, yes
jarnik_prim, GNM, 3, 8192, 8192, 20, 707458, yes
fast_kruskal, GNM, 0, 8192, 16384, 20, 1057750, yes
fast_kruskal, GNM, 1, 8192, 16384, 20, 981680, yes
fast_kruskal, GNM, 2, 8192, 16384, 20, 982390, yes
fast_kruskal, GNM, 3, 8192, 16384, 30, 986750, yes
i_max_filter, GNM, 0, 8192, 16384, 10, 1099962, yes
i_max_filter, GNM, 1, 8192, 16384, 20, 1076661, yes
i_max_filter, GNM, 2, 8192, 16384, 20, 1065731, yes
i_max_filter, GNM, 3, 8192, 16384, 20, 1097711, yes
parallel_i_max_filter, GNM, 0, 8192, 16384, 20, 1082891, yes
parallel_i_max_filter, GNM, 1, 8192, 16384, 20, 1083891, yes
parallel_i_max_filter, GNM, 2, 8192, 16384, 20, 1140562, yes
parallel_i_max_filter, GNM, 3, 8192, 16384, 20, 1075441, yes
jarnik_prim, GNM, 0, 8192, 16384, 20, 1083021, yes
jarnik_prim, GNM, 1, 8192, 16384, 10, 1082101, yes
jarnik_prim, GNM, 2, 8192, 16384, 20, 1079881, yes
jarnik_prim, GNM, 3, 8192, 16384, 20, 1083781, yes
fast_kruskal, GNM, 0, 8192, 32768, 20, 2010890, yes
fast_kruskal, GNM, 1, 8192, 32768, 20, 1606526, yes
fast_kruskal, GNM, 2, 8192, 32768, 20, 1611456, yes
fast_kruskal, GNM, 3, 8192, 32768, 20, 1626577, yes
i_max_filter, GNM, 0, 8192, 32768, 20, 1301363, yes
i_max_filter, GNM, 1, 8192, 32768, 20, 1324754, yes
i_max_filter, GNM, 2, 8192, 32768, 20, 1314084, yes
i_max_filter, GNM, 3, 8192, 32768, 20, 1292564, yes
parallel_i_max_filter, GNM, 0, 8192, 32768, 20, 1357963, yes
parallel_i_max_filter, GNM, 1, 8192, 32768, 10, 1390794, yes
parallel_i_max_filter, GNM, 2, 8192, 32768, 20, 1358364, yes
parallel_i_max_filter, GNM, 3, 8192, 32768, 20, 1359614, yes
jarnik_prim, GNM, 0, 8192, 32768, 20, 1342513, yes
jarnik_prim, GNM, 1, 8192, 32768, 30, 1332503, yes
jarnik_prim, GNM, 2, 8192, 32768, 20, 1376374, yes
jarnik_prim, GNM, 3, 8192, 32768, 20, 1330394, yes
fast_kruskal, GNM, 0, 8192, 65536, 20, 3557847, yes
fast_kruskal, GNM, 1, 8192, 65536, 20, 3206863, yes
fast_kruskal, GNM, 2, 8192, 65536, 20, 3205383, yes
